step,microtick,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,rho_triggered,rho_prime,imbalance_active,upsilon_beta_ratio,convergence_error,phase_limit,structural_deviation,emission_count,psi_transformed,microtick_phase
13,3,1,1,1,1,21027,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
13,4,1,1,1,1,21170,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
13,5,1,1,1,1,21313,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
13,6,1,1,1,1,21456,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
13,7,1,1,1,1,21599,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
13,8,1,1,1,1,21742,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
13,9,1,1,1,1,21885,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
13,10,1,1,1,1,22028,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
13,11,1,1,1,1,22171,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
14,1,1,1,1,1,22314,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
14,2,1,1,1,1,22457,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
14,3,1,1,1,1,22600,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
14,4,1,1,1,1,22743,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
14,5,1,1,1,1,22886,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
14,6,1,1,1,1,23029,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
14,7,1,1,1,1,23172,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
14,8,1,1,1,1,23315,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
14,9,1,1,1,1,23458,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
14,10,1,1,1,1,23601,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
14,11,1,1,1,1,23744,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
15,1,1,1,1,1,23887,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
15,2,1,1,1,1,24030,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
15,3,1,1,1,1,24173,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
15,4,1,1,1,1,24316,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
15,5,1,1,1,1,24459,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
15,6,1,1,1,1,24602,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
15,7,1,1,1,1,24745,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
15,8,1,1,1,1,24888,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
15,9,1,1,1,1,25031,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
15,10,1,1,1,1,25174,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
15,11,1,1,1,1,25317,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
16,1,1,1,1,1,25460,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
16,2,1,1,1,1,25603,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
16,3,1,1,1,1,25746,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
16,4,1,1,1,1,25889,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
16,5,1,1,1,1,26032,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
16,6,1,1,1,1,26175,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
16,7,1,1,1,1,26318,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
16,8,1,1,1,1,26461,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
16,9,1,1,1,1,26604,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
16,10,1,1,1,1,26747,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
16,11,1,1,1,1,26890,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
17,1,1,1,1,1,27033,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
17,2,1,1,1,1,27176,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
17,3,1,1,1,1,27319,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
17,4,1,1,1,1,27462,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
17,5,1,1,1,1,27605,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
17,6,1,1,1,1,27748,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
17,7,1,1,1,1,27891,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
17,8,1,1,1,1,28034,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
17,9,1,1,1,1,28177,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
17,10,1,1,1,1,28320,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
17,11,1,1,1,1,28463,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
18,1,1,1,1,1,28606,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
18,2,1,1,1,1,28749,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
18,3,1,1,1,1,28892,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
18,4,1,1,1,1,29035,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
18,5,1,1,1,1,29178,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
18,6,1,1,1,1,29321,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
18,7,1,1,1,1,29464,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
18,8,1,1,1,1,29607,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
18,9,1,1,1,1,29750,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
18,10,1,1,1,1,29893,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
18,11,1,1,1,1,30036,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
19,1,1,1,1,1,30179,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
19,2,1,1,1,1,30322,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
19,3,1,1,1,1,30465,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
19,4,1,1,1,1,30608,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
